id,original_title,cast,director,genres,production_companies,keywords,release_year
425716,Dræberne fra Nibe,"['nicolasbro', 'ulrichthomsen', 'mialyhne']",['olebornedal'],"['comedy', 'crime', 'drama']",['misofilm'],"['hitman', 'darkcomedy']",2017
283591,The Secret Scripture,"['rooneymara', 'theojames', 'vanessaredgrave']",['jimsheridan'],['drama'],"['ferndalefilms', 'irishfilmboard', 'apollomedia']","['basedonnovel', 'ireland', '12s']",2016
445727,The Bigfoot Project,"['andygoldenberg', 'emilyroyaobrien', 'nickarmstrong']",['ricardoherrera'],['comedy'],"['fallenfilms', 'midastouchmedia', 'junestreetproductions']","['horrorspoof', 'bigfoothunter']",2017
424998,The Case for Christ,"['mikevogel', 'erikachristensen', 'fayedunaway']",['jongunn'],['drama'],['pureflixentertainment'],"['christianity', 'basedonnovel', 'courtcase']",2017
322487,Spark: A Space Tail,"['jessicabiel', 'hilaryswank', 'susansarandon']",['aaronwoodley'],"['adventure', 'animation', 'comedy']","['gulfstreampictures', 'redroverinternational', 'toonboxentertainment', 'shanghaihoongmantechnologyco']","['blackhole', 'space', 'furry']",2017
417678,"Everything, Everything","['amandlastenberg', 'nickrobinson', 'anikanonirose']",['stellameghie'],"['drama', 'romance']","['metrogoldwynmayermgm', 'alloyentertainment', 'itacafilms']","['nurse', 'isolation', 'love']",2017
436340,Félicité,"['vérotshandabeyamputu', 'gaetanclaudia', 'papimpaka']",['alaingomis'],['drama'],"['granitfilms', 'cinekap', 'andolfi']",['kinshasa'],2017
381449,Wir sind die Flut,"['maxmauff', 'lanacooper', 'swantjekohlhof']",['sebastianhilger'],"['mystery', 'drama', 'sciencefiction']","['rundfunkberlinbrandenburgrbb', 'annawendtfilmproduktion']",['dystopicfuture'],2016
428356,Танцы насмерть,"['agniyaditkovskite', 'denisshvedov', 'anvarkhalilulaev']",['andreyvolgin'],"['action', 'fantasy']",['kinodanz'],"['dancing', 'moscow', 'russianfilm']",2017
440642,Время первых,"['evgenymironov', 'konstantinkhabenskiy', 'vladimirilin']",['dmitriykiselev'],"['adventure', 'drama', 'history']",['bazelevsproduction'],"['astronaut', 'spacewalk']",2017
392882,少女,"['tsubasahonda', 'mizukiyamamoto', 'mackenyuarata']",['yukikomishima'],['drama'],['toei'],['basedonnovel'],2016
339846,Baywatch,"['dwaynejohnson', 'zacefron', 'alexandradaddario']",['sethgordon'],"['action', 'comedy']","['paramountpictures', 'montecitopicturecompanythe', 'flynnpicturecompany', 'fremantleproductions', 'sevenbucksproductions', 'skydancemedia', 'uncharted']","['beach', 'drugdealer', 'basedontvseries']",2017
418437,Unforgettable,"['rosariodawson', 'katherineheigl', 'geoffstults']",['denisedinovi'],"['drama', 'thriller']",['dinovipictures'],"['exhusband', 'womandirector']",2017
373569,Snatched,"['amyschumer', 'goldiehawn', 'tombateman']",['jonathanlevine'],"['action', 'comedy']","['twentiethcenturyfoxfilmcorporation', 'cherninentertainment', 'feigcoentertainment']","['ransom', 'kidnapping', 'tourist']",2017
282035,The Mummy,"['tomcruise', 'russellcrowe', 'annabellewallis']",['alexkurtzman'],"['thriller', 'action', 'adventure']","['universalpictures', 'seandanielcompany', 'secrethideout']","['monster', 'mummy', 'horror']",2017
404584,From a House on Willow Street,"['sharnivinson', 'carlynburchell', 'stevejohnward']",['alastairorr'],"['action', 'horror']","['thedarkside', 'fatcigarproductions']","['kidnapping', 'supernatural', 'possession']",2017
415665,1:54,"['antoineolivierpilon', 'sophienélisse', 'loupascaltremblay']",['yanengland'],['drama'],['cinémaginaireinc'],"['running', 'homophobia', 'sport']",2016
401484,The Sweet Life,"['chrismessina', 'abigailspencer', 'maggiesiff']",['robspera'],"['romance', 'drama', 'comedy']",['mockingbirdpictures'],"['suicide', 'chicago', 'goldengatebridge']",2016
403509,Secuestro,"['blancaportillo', 'josécoronado', 'antoniodechent']",['martargarona'],"['mystery', 'thriller']",['rodaryrodarcineytelevisión'],"['kidnapping', 'disappearance', 'womandirector']",2016
337339,The Fate of the Furious,"['vindiesel', 'jasonstatham', 'dwaynejohnson']",['fgarygray'],"['action', 'crime', 'thriller']","['universalpictures', 'originalfilm', 'oneracefilms']","['submarine', 'sequel', 'betrayal']",2017
382509,Cézanne et moi,"['guillaumegallienne', 'guillaumecanet', 'alicepol']",['danièlethompson'],"['comedy', 'drama']",['pathédistribution'],"['friendship', 'womandirector']",2016
