id,popularity,original_title,cast,director,genres,production_companies,vote_average,keywords
86828,1.360827,"[11761, 4133]","[908, 441, 15589]",[3752],"[2, 9]","[3861, 23218, 23219]",5.8,"[40, 123, 897]"
287948,1.3558219999999999,"[676, 11762]","[4421, 4422, 15590]",[9709],"[4, 3, 8]",[1173],5.3,"[676, 47, 51]"
201085,1.345982,"[7381, 7382]","[1395, 904, 1793]",[2560],"[12, 4, 11]",[233],6.4,"[322, 11120, 44]"
277355,1.342839,[11763],"[910, 15591, 8397]",[4769],"[4, 3]","[10352, 10353, 555]",5.1,"[115, 26984]"
264999,1.338481,"[63, 4134, 11764]","[690, 4423, 5814]",[6413],"[2, 1, 17]","[15, 10354]",6.3,"[957, 959, 561]"
146301,1.338322,"[1212, 2338, 263]","[15592, 15593, 15594]",[21045],"[5, 4]","[16, 289]",5.0,"[172, 165, 47]"
223485,1.329702,"[11765, 2749]","[748, 3520, 3521]",[21046],"[7, 4, 43]","[10355, 245, 3150]",6.6,"[102, 781, 814]"
294016,1.316239,[11766],"[2890, 473, 439]",[1643],[1],"[1911, 10356, 10357]",7.2,"[7055, 3982, 38]"
290751,1.315266,"[60, 728]","[2085, 181, 302]",[9710],"[8, 1, 12]","[948, 3162, 1172]",6.2,"[158, 7056]"
309245,1.29314,"[5323, 876]","[1571, 15595, 15596]",[2561],[2],[4922],6.4,"[1383, 2281]"
228165,1.291013,"[7383, 111, 11767]","[8398, 15597, 5815]",[21047],"[10, 13]","[16, 556, 23220]",5.7,"[467, 196, 260]"
245706,1.284541,"[1721, 197]","[1004, 284, 2086]",[21048],"[8, 1, 12]","[1300, 56, 662]",6.0,"[36, 91, 529]"
272878,1.278928,[1513],"[2444, 8399, 2445]",[3753],"[6, 1, 10]","[2616, 15, 29]",7.0,"[2282, 25, 291]"
263109,1.25358,"[7384, 1987, 111]","[15598, 5816, 15599]","[21049, 21050]","[10, 13, 2]","[1668, 69, 4924]",6.9,"[3264, 1987, 722]"
157827,1.251681,"[7385, 11768]","[1005, 5817, 826]",[21051],[1],"[23221, 6707, 4929]",6.3,"[177, 62, 53]"
321751,1.2452239999999999,"[565, 139]","[1794, 1112, 474]",[9711],"[2, 1]","[23222, 3163, 10358]",6.3,[2283]
266396,1.225325,[11769],"[273, 5818, 1572]",[4770],"[3, 1, 8]","[69, 194, 602]",5.6,"[115, 209]"
277685,1.191138,[11770],"[15600, 15601, 15602]",[21052],"[5, 4]","[3154, 289]",5.6,"[1242, 1493, 55]"
268920,1.178831,"[972, 3347]","[411, 15603, 15604]",[3754],"[3, 8, 2]","[26, 15, 29]",5.5,"[146, 529, 380]"
280092,1.1647239999999999,"[5324, 4135]","[911, 8400, 4424]",[9189],"[1, 5, 4]",[1169],6.3,[47]
193687,1.161812,"[7386, 11771]","[5803, 2085, 1252]",[21053],"[1, 9, 4]","[3862, 23223, 6704]",5.5,"[352, 18, 108]"
300803,1.144808,"[7387, 7388, 429]","[8401, 15605, 15606]",[21054],"[3, 6, 11]",[23224],4.5,"[63, 2383, 26985]"
328589,1.142518,"[1722, 1517]","[1253, 8402, 15607]",[3074],"[2, 1]","[75, 23225]",5.9,"[18, 38, 291]"
228066,1.138395,"[11772, 677]","[586, 1113, 8403]",[3075],"[1, 9, 4]","[19, 217, 3857]",5.5,"[40, 1187, 677]"
291270,1.1252389999999999,[11773],"[533, 1006, 15608]","[21055, 9712]","[13, 2, 1]",[23226],6.7,"[22, 613, 11121]"
294963,1.0733489999999999,"[2750, 11774]","[315, 2087, 2891]",[21056],"[5, 43, 6]","[4930, 23227, 23228]",6.3,"[503, 529, 44]"
241257,1.065888,[11775],"[318, 1007, 8404]",[6414],"[5, 12, 4]","[184, 10359, 4931]",5.2,"[323, 5129]"
245698,1.0630549999999999,"[5325, 1988]","[1114, 15609, 1115]",[1878],[1],"[10360, 6708, 10361]",6.6,"[1383, 456, 1387]"
353326,1.046518,"[42, 7389, 11776]","[440, 4404, 2446]",[21057],[1],"[4932, 2618, 10362]",7.1,"[93, 1317, 2681]"
346808,1.041922,[11777],"[1794, 174, 3522]",[21058],"[4, 3]","[23229, 23230]",5.8,"[82, 115, 26986]"
250124,1.03839,"[792, 2339, 144]","[15610, 821, 2892]",[21059],"[1, 7]","[23231, 10363, 10364]",6.8,"[169, 3265, 26987]"
290637,1.036825,"[7390, 263]","[116, 4425, 15611]",[3755],"[5, 4]","[23232, 23233]",5.3,"[159, 95, 55]"
244458,1.02762,[11778],"[387, 1795, 1563]",[21060],"[5, 4, 2]","[393, 2221, 3164]",6.0,"[269, 7057, 138]"
308504,1.021441,"[101, 3348]","[694, 174, 4426]",[21061],"[3, 6]","[10365, 23234]",6.3,"[1494, 993, 435]"
157843,0.973316,"[340, 1518]","[181, 284, 1008]",[1436],"[1, 23]","[2223, 23235, 23236]",6.0,"[1495, 3410, 8032]"
275601,0.956096,"[11779, 4136]","[202, 389, 8405]",[1879],"[2, 1, 17]","[4933, 4934, 4925]",5.5,"[1188, 669, 3266]"
290762,0.9536469999999999,"[1072, 7391]","[274, 642, 1796]",[2562],"[2, 1, 7]","[23237, 23238]",7.2,"[960, 17, 85]"
251516,0.953046,"[3349, 1713]","[8406, 8407, 15612]",[8406],"[3, 2, 9]",[23239],7.7,"[487, 82, 1318]"
324807,0.9384319999999999,"[4137, 7392]","[1116, 3510, 332]",[21062],"[8, 1, 12]","[69, 23240, 23241]",5.8,"[427, 1227, 669]"
252512,0.9376200000000001,[793],"[241, 412, 4427]",[2561],"[1, 2]","[205, 2611]",5.9,"[3267, 356, 26988]"
257091,0.9273389999999999,"[794, 795]","[365, 2083, 4428]",[21063],[2],"[1046, 15]",5.9,"[36, 1234, 5773]"
347969,0.913085,[11780],"[299, 2079, 538]",[2174],"[2, 43]",[257],4.8,[7058]
237756,0.90686,"[308, 625, 3350]","[1566, 908, 8408]",[9713],"[2, 4]","[4935, 6709, 23242]",5.1,"[115, 614]"
245168,0.898295999999999,[11781],"[2088, 827, 202]",[21064],"[1, 23]","[3165, 3166, 245]",7.1,"[40, 38, 11122]"
311291,0.8944770000000001,[1519],"[1396, 2893, 15613]",[9714],[1],[10366],6.0,"[154, 11123, 126]"
301351,0.880937999999999,[237],"[1117, 15614, 2894]",[21065],"[1, 17, 7]",[206],6.2,[11124]
248574,0.880268,"[7393, 3351]","[2075, 8409, 643]",[9715],"[6, 3, 2]",[2611],5.5,"[115, 54]"
225728,0.874641,[7394],"[748, 4429, 2447]",[9716],"[23, 1, 25]","[69, 3150, 10367]",6.4,"[329, 504, 7059]"
326425,0.872149,[11782],"[120, 8410, 3523]",[9717],"[3, 4]","[946, 10368, 23243]",4.2,"[186, 72, 26989]"
342474,0.8611790000000001,"[11783, 261]","[1009, 1254, 1573]",[21066],"[2, 1]","[23244, 10369, 10361]",5.2,[28]
277217,0.848748,[7395],"[5819, 15615, 5820]",[1831],"[17, 3, 6]",[3167],6.7,"[577, 3491, 2682]"
207936,0.843174,[11784],"[5814, 2895, 2896]",[21067],"[17, 7, 2]","[6710, 2224, 23245]",6.6,"[863, 38, 1094]"
250734,0.842202,"[2340, 11785, 5326]","[2088, 3510, 1118]",[9718],"[7, 1]","[104, 1044, 75]",6.9,"[1987, 2284, 26990]"
268238,0.8324870000000001,"[3352, 796, 7396]","[4404, 1574, 285]",[2175],"[1, 2]","[513, 3168, 3863]",6.4,"[1782, 26991]"
256962,0.829111,"[117, 170]","[15616, 1255, 2897]",[9719],"[2, 1, 25]",[10370],7.1,"[1061, 78, 11125]"
322456,0.821443,"[3353, 4138, 11786]","[15617, 8411, 5821]",[9720],"[3, 6, 13]",[185],6.4,"[46, 279, 723]"
222936,0.814206,[11787],"[749, 1397, 691]",[2176],"[6, 2, 7]","[21, 3864, 56]",5.2,"[352, 1108, 11126]"
316002,0.813893,"[5327, 41]","[535, 644, 506]","[1875, 21068]","[7, 2]",[10371],3.6,"[1185, 397, 26992]"
10317,0.795762,"[7397, 5328]","[331, 2440, 442]",[2177],"[1, 2]","[513, 6711]",5.7,"[26993, 462, 26994]"
334538,0.792471,[678],"[912, 695, 5822]",[6415],"[1, 9]","[2619, 2224]",5.1,"[32, 59, 102]"
306947,0.7879689999999989,[11788],"[8374, 5823, 5824]",[4771],[4],[23246],6.4,"[45, 2683, 28]"
382517,0.7739090000000001,"[1723, 2341, 4139]","[15618, 4430, 15619]",[21069],"[13, 2, 10]",[1170],5.6,"[1533, 26995, 8266]"
310133,0.77107,"[380, 1213]","[390, 15620, 15621]",[9721],[4],"[6712, 23247, 23248]",5.5,"[119, 5132, 44]"
288036,0.758133,"[2751, 797]","[2895, 4428, 2441]",[9722],[2],"[600, 1046, 1172]",6.2,"[22, 615, 41]"
331781,0.738404,[4140],"[15622, 15623, 15624]",[6416],"[20, 17]","[10372, 23249]",7.5,"[994, 783, 3268]"
253161,0.7299,"[11789, 11790]","[1395, 4431, 15625]",[9723],[1],"[23250, 23251, 23252]",5.3,"[26996, 26997, 5133]"
312831,0.719407,[11791],"[15626, 5825, 15627]",[21070],"[11, 5]","[6713, 6714, 6715]",4.9,"[107, 577, 1740]"
316322,0.7141310000000001,"[679, 491, 1348]","[15628, 15629, 2089]",[21071],"[10, 13]",[6716],5.5,"[679, 491, 723]"
301846,0.7073550000000001,[7398],"[5826, 5827, 5828]",[9724],[5],[10373],4.9,"[93, 102, 11127]"
306745,0.706023,[11792],"[190, 912, 536]",[9725],"[7, 1]","[1166, 855, 23253]",7.1,"[1189, 26998, 2285]"
332340,0.7013699999999989,[42],"[908, 2084, 8412]",[9726],"[7, 2]","[3169, 69]",6.5,"[2846, 2684, 345]"
292431,0.699932,[41],"[15630, 15631, 15632]",[9727],"[1, 7]","[372, 23254, 6717]",4.7,"[65, 22, 562]"
300693,0.69957,[1520],"[242, 386, 2898]",[21072],[1],"[10374, 4936, 23255]",6.4,"[26999, 38, 7060]"
333381,0.696184,"[198, 11793]","[1398, 5829, 413]",[9728],[4],"[1049, 23256, 23257]",5.0,"[401, 36, 328]"
256924,0.690479,"[7399, 7400]","[214, 645, 1010]",[21073],"[2, 1, 17]","[6718, 10357]",6.6,"[669, 7061]"
253414,0.6895789999999989,"[341, 11794]","[414, 828, 120]",[659],"[2, 17, 25]","[3170, 4937, 6719]",5.1,"[108, 3983, 2282]"
254172,0.689571,"[4141, 11795]","[1111, 8413, 391]",[4772],[1],"[23258, 23259, 23260]",7.0,"[863, 7062, 10]"
320588,0.6737920000000001,"[3354, 1989, 7401]","[829, 15633, 15634]",[8927],"[2, 1, 7]","[10375, 6720]",6.6,"[7063, 5134, 5135]"
157544,0.669351,"[1214, 5329]","[8414, 3524, 5830]",[3756],"[4, 5]","[162, 96, 23261]",4.5,"[576, 3389, 2796]"
283235,0.661471,[11796],"[2899, 1119, 1256]",[9729],[1],"[1050, 2620, 10376]",6.8,"[516, 527, 7064]"
243938,0.6611630000000001,"[972, 7402, 140]","[4432, 5831, 8415]",[4773],[2],"[16, 29]",5.0,"[222, 47, 27000]"
86835,0.654335,"[568, 11797]","[361, 386, 507]",[3076],"[7, 1]","[10377, 23262]",5.7,"[1784, 312, 8307]"
254905,0.654046,[11798],"[214, 5832, 1257]",[2177],[1],[1171],5.0,"[314, 100, 146]"
